Assembly Accession	Assembly-unit accession	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_000002035.6	Primary Assembly	Un			KN150123.1	Chromosome		NW_003334680.2	unplaced-scaffold	51978	chrUn_KN150123v1		NA486
GCF_000002035.6	Primary Assembly	Un			KN150125.1	Chromosome		NW_003337013.1	unplaced-scaffold	83315	chrUn_KN150125v1		NA487
GCF_000002035.6	Primary Assembly	Un			KN150126.1	Chromosome		NW_003336385.1	unplaced-scaffold	24847	chrUn_KN150126v1		NA488
GCF_000002035.6	Primary Assembly	Un			KN150127.1	Chromosome		NW_003336678.1	unplaced-scaffold	33302	chrUn_KN150127v1		NA489
GCF_000002035.6	Primary Assembly	Un			KN150128.1	Chromosome		NW_003336812.1	unplaced-scaffold	12262	chrUn_KN150128v1		NA490
GCF_000002035.6	Primary Assembly	Un			KN150130.1	Chromosome		NW_008805444.1	unplaced-scaffold	9925	chrUn_KN150130v1		NA492
GCF_000002035.6	Primary Assembly	Un			KN150131.1	Chromosome		NW_008805445.1	unplaced-scaffold	70868	chrUn_KN150131v1		NA493
GCF_000002035.6	Primary Assembly	Un			KN150132.1	Chromosome		NW_003336900.1	unplaced-scaffold	13999	chrUn_KN150132v1		NA495
GCF_000002035.6	Primary Assembly	Un			KN150133.2	Chromosome		NW_003334034.2	unplaced-scaffold	53456	chrUn_KN150133v2		NA497
GCF_000002035.6	Primary Assembly	Un			KN150134.1	Chromosome		NW_003336226.1	unplaced-scaffold	29067	chrUn_KN150134v1		NA498
GCF_000002035.6	Primary Assembly	Un			KN150136.1	Chromosome		NW_003336484.1	unplaced-scaffold	49373	chrUn_KN150136v1		NA499
GCF_000002035.6	Primary Assembly	Un			KN150137.1	Chromosome		NW_003336679.1	unplaced-scaffold	36779	chrUn_KN150137v1		NA501
GCF_000002035.6	Primary Assembly	Un			KN150140.2	Chromosome		NW_003336878.3	unplaced-scaffold	19733	chrUn_KN150140v2		NA504
GCF_000002035.6	Primary Assembly	Un			KN150141.1	Chromosome		NW_003335166.2	unplaced-scaffold	17117	chrUn_KN150141v1		NA505
GCF_000002035.6	Primary Assembly	Un			KN150144.1	Chromosome		NW_003336479.1	unplaced-scaffold	14974	chrUn_KN150144v1		NA508
GCF_000002035.6	Primary Assembly	Un			KN150145.1	Chromosome		NW_008805448.1	unplaced-scaffold	9970	chrUn_KN150145v1		NA509
GCF_000002035.6	Primary Assembly	Un			KN150146.1	Chromosome		NW_003337126.1	unplaced-scaffold	9714	chrUn_KN150146v1		NA52
GCF_000002035.6	Primary Assembly	Un			KN150147.1	Chromosome		NW_003335184.2	unplaced-scaffold	7977	chrUn_KN150147v1		NA510
GCF_000002035.6	Primary Assembly	Un			KN150148.1	Chromosome		NW_003337040.2	unplaced-scaffold	44589	chrUn_KN150148v1		NA512
GCF_000002035.6	Primary Assembly	Un			KN150150.1	Chromosome		NW_008805449.1	unplaced-scaffold	9780	chrUn_KN150150v1		NA513
GCF_000002035.6	Primary Assembly	Un			KN150152.1	Chromosome		NW_008805450.1	unplaced-scaffold	9348	chrUn_KN150152v1		NA516
GCF_000002035.6	Primary Assembly	Un			KN150154.1	Chromosome		NW_003335322.1	unplaced-scaffold	21695	chrUn_KN150154v1		NA518
GCF_000002035.6	Primary Assembly	Un			KN150155.1	Chromosome		NW_008805451.1	unplaced-scaffold	10282	chrUn_KN150155v1		NA519
GCF_000002035.6	Primary Assembly	Un			KN150156.1	Chromosome		NW_003337259.1	unplaced-scaffold	33247	chrUn_KN150156v1		NA520
GCF_000002035.6	Primary Assembly	Un			KN150157.1	Chromosome		NW_003337224.1	unplaced-scaffold	18756	chrUn_KN150157v1		NA53
GCF_000002035.6	Primary Assembly	Un			KN150158.1	Chromosome		NW_003335383.2	unplaced-scaffold	106536	chrUn_KN150158v1		NA4
GCF_000002035.6	Primary Assembly	Un			KN150159.1	Chromosome		NW_003337196.1	unplaced-scaffold	35229	chrUn_KN150159v1		NA521
GCF_000002035.6	Primary Assembly	Un			KN150160.1	Chromosome		NW_003336286.1	unplaced-scaffold	17824	chrUn_KN150160v1		NA522
GCF_000002035.6	Primary Assembly	Un			KN150161.1	Chromosome		NW_008805452.1	unplaced-scaffold	12647	chrUn_KN150161v1		NA523
GCF_000002035.6	Primary Assembly	Un			KN150162.1	Chromosome		NW_003336381.1	unplaced-scaffold	10930	chrUn_KN150162v1		NA524
GCF_000002035.6	Primary Assembly	Un			KN150164.1	Chromosome		NW_003335796.1	unplaced-scaffold	11300	chrUn_KN150164v1		NA525
GCF_000002035.6	Primary Assembly	Un			KN150165.1	Chromosome		NW_003336925.1	unplaced-scaffold	32739	chrUn_KN150165v1		NA526
GCF_000002035.6	Primary Assembly	Un			KN150166.1	Chromosome		NW_003336541.1	unplaced-scaffold	49457	chrUn_KN150166v1		NA527
GCF_000002035.6	Primary Assembly	Un			KN150167.1	Chromosome		NW_003336392.1	unplaced-scaffold	13466	chrUn_KN150167v1		NA528
GCF_000002035.6	Primary Assembly	Un			KN150168.1	Chromosome		NW_003336254.1	unplaced-scaffold	28382	chrUn_KN150168v1		NA529
GCF_000002035.6	Primary Assembly	Un			KN150170.1	Chromosome		NW_003336404.2	unplaced-scaffold	55716	chrUn_KN150170v1		NA530
GCF_000002035.6	Primary Assembly	Un			KN150171.1	Chromosome		NW_003336964.1	unplaced-scaffold	140649	chrUn_KN150171v1		NA531
GCF_000002035.6	Primary Assembly	Un			KN150172.1	Chromosome		NW_008805454.1	unplaced-scaffold	40634	chrUn_KN150172v1		NA533
GCF_000002035.6	Primary Assembly	Un			KN150173.1	Chromosome		NW_003336455.2	unplaced-scaffold	50946	chrUn_KN150173v1		NA534
GCF_000002035.6	Primary Assembly	Un			KN150174.1	Chromosome		NW_008805455.1	unplaced-scaffold	13450	chrUn_KN150174v1		NA536
GCF_000002035.6	Primary Assembly	Un			KN150175.1	Chromosome		NW_003337250.1	unplaced-scaffold	24612	chrUn_KN150175v1		NA537
GCF_000002035.6	Primary Assembly	Un			KN150176.1	Chromosome		NW_003334499.2	unplaced-scaffold	69061	chrUn_KN150176v1		NA539
GCF_000002035.6	Primary Assembly	Un			KN150177.1	Chromosome		NW_003336928.1	unplaced-scaffold	21670	chrUn_KN150177v1		NA540
GCF_000002035.6	Primary Assembly	Un			KN150179.1	Chromosome		NW_003336461.1	unplaced-scaffold	47473	chrUn_KN150179v1		NA542
GCF_000002035.6	Primary Assembly	Un			KN150180.1	Chromosome		NW_003337031.1	unplaced-scaffold	1872	chrUn_KN150180v1		NA55
GCF_000002035.6	Primary Assembly	Un			KN150181.1	Chromosome		NW_003335920.1	unplaced-scaffold	32761	chrUn_KN150181v1		NA543
GCF_000002035.6	Primary Assembly	Un			KN150182.1	Chromosome		NW_003337162.1	unplaced-scaffold	11735	chrUn_KN150182v1		NA544
GCF_000002035.6	Primary Assembly	Un			KN150183.1	Chromosome		NW_003334281.1	unplaced-scaffold	22266	chrUn_KN150183v1		NA546
GCF_000002035.6	Primary Assembly	Un			KN150184.1	Chromosome		NW_003336327.1	unplaced-scaffold	16312	chrUn_KN150184v1		NA547
GCF_000002035.6	Primary Assembly	Un			KN150185.1	Chromosome		NW_003336293.1	unplaced-scaffold	8651	chrUn_KN150185v1		NA548
GCF_000002035.6	Primary Assembly	Un			KN150186.1	Chromosome		NW_003334071.2	unplaced-scaffold	23923	chrUn_KN150186v1		NA550
GCF_000002035.6	Primary Assembly	Un			KN150187.1	Chromosome		NW_003336328.1	unplaced-scaffold	19179	chrUn_KN150187v1		NA551
GCF_000002035.6	Primary Assembly	Un			KN150189.1	Chromosome		NW_003336699.1	unplaced-scaffold	38868	chrUn_KN150189v1		NA553
GCF_000002035.6	Primary Assembly	Un			KN150190.1	Chromosome		NW_003336858.1	unplaced-scaffold	11399	chrUn_KN150190v1		NA554
GCF_000002035.6	Primary Assembly	Un			KN150191.1	Chromosome		NW_003334899.1	unplaced-scaffold	42303	chrUn_KN150191v1		NA56
GCF_000002035.6	Primary Assembly	Un			KN150193.1	Chromosome		NW_003336332.1	unplaced-scaffold	12580	chrUn_KN150193v1		NA556
GCF_000002035.6	Primary Assembly	Un			KN150194.1	Chromosome		NW_003336375.1	unplaced-scaffold	13629	chrUn_KN150194v1		NA557
GCF_000002035.6	Primary Assembly	Un			KN150195.1	Chromosome		NW_003336913.1	unplaced-scaffold	18921	chrUn_KN150195v1		NA558
GCF_000002035.6	Primary Assembly	Un			KN150196.1	Chromosome		NW_008805458.1	unplaced-scaffold	89077	chrUn_KN150196v1		NA559
GCF_000002035.6	Primary Assembly	Un			KN150197.1	Chromosome		NW_003337171.1	unplaced-scaffold	14532	chrUn_KN150197v1		NA560
GCF_000002035.6	Primary Assembly	Un			KN150199.1	Chromosome		NW_003336871.1	unplaced-scaffold	16564	chrUn_KN150199v1		NA561
GCF_000002035.6	Primary Assembly	Un			KN150200.1	Chromosome		NW_008805459.1	unplaced-scaffold	31861	chrUn_KN150200v1		NA562
GCF_000002035.6	Primary Assembly	Un			KN150201.1	Chromosome		NW_003336661.1	unplaced-scaffold	9480	chrUn_KN150201v1		NA563
GCF_000002035.6	Primary Assembly	Un			KN150202.1	Chromosome		NW_003337002.1	unplaced-scaffold	15451	chrUn_KN150202v1		NA57
GCF_000002035.6	Primary Assembly	Un			KN150203.1	Chromosome		NW_003337189.1	unplaced-scaffold	24004	chrUn_KN150203v1		NA564
GCF_000002035.6	Primary Assembly	Un			KN150204.1	Chromosome		NW_003337204.1	unplaced-scaffold	95149	chrUn_KN150204v1		NA565
GCF_000002035.6	Primary Assembly	Un			KN150205.1	Chromosome		NW_003337172.1	unplaced-scaffold	2620	chrUn_KN150205v1		NA566
GCF_000002035.6	Primary Assembly	Un			KN150206.1	Chromosome		NW_003336388.1	unplaced-scaffold	2052	chrUn_KN150206v1		NA567
GCF_000002035.6	Primary Assembly	Un			KN150210.1	Chromosome		NW_003337136.1	unplaced-scaffold	12550	chrUn_KN150210v1		NA571
GCF_000002035.6	Primary Assembly	Un			KN150211.1	Chromosome		NW_003336376.1	unplaced-scaffold	16386	chrUn_KN150211v1		NA572
GCF_000002035.6	Primary Assembly	Un			KN150212.1	Chromosome		NW_003335408.1	unplaced-scaffold	18932	chrUn_KN150212v1		NA573
GCF_000002035.6	Primary Assembly	Un			KN150213.1	Chromosome		NW_008805461.1	unplaced-scaffold	16101	chrUn_KN150213v1		NA58
GCF_000002035.6	Primary Assembly	Un			KN150214.1	Chromosome		NW_003336732.1	unplaced-scaffold	162877	chrUn_KN150214v1		NA574
GCF_000002035.6	Primary Assembly	Un			KN150215.1	Chromosome		NW_003334517.2	unplaced-scaffold	1237	chrUn_KN150215v1		NA575
GCF_000002035.6	Primary Assembly	Un			KN150216.1	Chromosome		NW_008805462.1	unplaced-scaffold	1020	chrUn_KN150216v1		NA576
GCF_000002035.6	Primary Assembly	Un			KN150217.1	Chromosome		NW_008805463.1	unplaced-scaffold	13840	chrUn_KN150217v1		NA577
GCF_000002035.6	Primary Assembly	Un			KN150218.1	Chromosome		NW_003336601.1	unplaced-scaffold	15354	chrUn_KN150218v1		NA578
GCF_000002035.6	Primary Assembly	Un			KN150219.1	Chromosome		NW_003336553.1	unplaced-scaffold	16672	chrUn_KN150219v1		NA579
GCF_000002035.6	Primary Assembly	Un			KN150220.1	Chromosome		NW_003335052.1	unplaced-scaffold	29625	chrUn_KN150220v1		NA580
GCF_000002035.6	Primary Assembly	Un			KN150221.1	Chromosome		NW_003336895.1	unplaced-scaffold	28122	chrUn_KN150221v1		NA581
GCF_000002035.6	Primary Assembly	Un			KN150222.1	Chromosome		NW_003336730.1	unplaced-scaffold	110669	chrUn_KN150222v1		NA582
GCF_000002035.6	Primary Assembly	Un			KN150224.1	Chromosome		NW_003335355.2	unplaced-scaffold	24154	chrUn_KN150224v1		NA59
GCF_000002035.6	Primary Assembly	Un			KN150225.1	Chromosome		NW_008805465.1	unplaced-scaffold	20429	chrUn_KN150225v1		NA584
GCF_000002035.6	Primary Assembly	Un			KN150226.1	Chromosome		NW_003334453.1	unplaced-scaffold	25293	chrUn_KN150226v1		NA585
GCF_000002035.6	Primary Assembly	Un			KN150227.1	Chromosome		NW_003336903.1	unplaced-scaffold	31979	chrUn_KN150227v1		NA586
GCF_000002035.6	Primary Assembly	Un			KN150228.1	Chromosome		NW_003337202.1	unplaced-scaffold	17061	chrUn_KN150228v1		NA587
GCF_000002035.6	Primary Assembly	Un			KN150229.1	Chromosome		NW_003336632.1	unplaced-scaffold	1251	chrUn_KN150229v1		NA588
GCF_000002035.6	Primary Assembly	Un			KN150230.1	Chromosome		NW_003335764.1	unplaced-scaffold	149710	chrUn_KN150230v1		NA589
GCF_000002035.6	Primary Assembly	Un			KN150231.1	Chromosome		NW_008805466.1	unplaced-scaffold	2322	chrUn_KN150231v1		NA591
GCF_000002035.6	Primary Assembly	Un			KN150232.1	Chromosome		NW_003336350.1	unplaced-scaffold	53540	chrUn_KN150232v1		NA592
GCF_000002035.6	Primary Assembly	Un			KN150233.1	Chromosome		NW_003336429.1	unplaced-scaffold	2246	chrUn_KN150233v1		NA593
GCF_000002035.6	Primary Assembly	Un			KN150234.1	Chromosome		NW_003336769.1	unplaced-scaffold	18511	chrUn_KN150234v1		NA595
GCF_000002035.6	Primary Assembly	Un			KN150236.1	Chromosome		NW_008805468.1	unplaced-scaffold	19315	chrUn_KN150236v1		NA596
GCF_000002035.6	Primary Assembly	Un			KN150237.1	Chromosome		NW_003336914.1	unplaced-scaffold	1732	chrUn_KN150237v1		NA598
GCF_000002035.6	Primary Assembly	Un			KN150238.1	Chromosome		NW_003336515.1	unplaced-scaffold	9450	chrUn_KN150238v1		NA599
GCF_000002035.6	Primary Assembly	Un			KN150240.1	Chromosome		NW_003335884.2	unplaced-scaffold	31723	chrUn_KN150240v1		NA601
GCF_000002035.6	Primary Assembly	Un			KN150241.1	Chromosome		NW_003336647.1	unplaced-scaffold	60821	chrUn_KN150241v1		NA602
GCF_000002035.6	Primary Assembly	Un			KN150242.1	Chromosome		NW_003334219.2	unplaced-scaffold	20063	chrUn_KN150242v1		NA603
GCF_000002035.6	Primary Assembly	Un			KN150243.2	Chromosome		NW_003336949.3	unplaced-scaffold	45964	chrUn_KN150243v2		NA604
GCF_000002035.6	Primary Assembly	Un			KN150244.1	Chromosome		NW_003336894.1	unplaced-scaffold	42860	chrUn_KN150244v1		NA605
GCF_000002035.6	Primary Assembly	Un			KN150246.1	Chromosome		NW_008805470.1	unplaced-scaffold	15365	chrUn_KN150246v1		NA60
GCF_000002035.6	Primary Assembly	Un			KN150248.1	Chromosome		NW_003337198.1	unplaced-scaffold	18273	chrUn_KN150248v1		NA607
GCF_000002035.6	Primary Assembly	Un			KN150249.1	Chromosome		NW_003336377.1	unplaced-scaffold	12261	chrUn_KN150249v1		NA608
GCF_000002035.6	Primary Assembly	Un			KN150250.1	Chromosome		NW_008805472.1	unplaced-scaffold	13560	chrUn_KN150250v1		NA610
GCF_000002035.6	Primary Assembly	Un			KN150251.1	Chromosome		NW_008805473.1	unplaced-scaffold	26988	chrUn_KN150251v1		NA611
GCF_000002035.6	Primary Assembly	Un			KN150252.1	Chromosome		NW_003334150.2	unplaced-scaffold	43133	chrUn_KN150252v1		NA612
GCF_000002035.6	Primary Assembly	Un			KN150253.1	Chromosome		NW_003336972.2	unplaced-scaffold	3149	chrUn_KN150253v1		NA613
GCF_000002035.6	Primary Assembly	Un			KN150254.1	Chromosome		NW_003336921.1	unplaced-scaffold	12144	chrUn_KN150254v1		NA614
GCF_000002035.6	Primary Assembly	Un			KN150255.2	Chromosome		NW_003336517.2	unplaced-scaffold	29368	chrUn_KN150255v2		NA615
GCF_000002035.6	Primary Assembly	Un			KN150257.1	Chromosome		NW_003336819.1	unplaced-scaffold	12735	chrUn_KN150257v1		NA61
GCF_000002035.6	Primary Assembly	Un			KN150258.1	Chromosome		NW_003337070.1	unplaced-scaffold	95885	chrUn_KN150258v1		NA617
GCF_000002035.6	Primary Assembly	Un			KN150259.1	Chromosome		NW_003336396.1	unplaced-scaffold	50098	chrUn_KN150259v1		NA618
GCF_000002035.6	Primary Assembly	Un			KN150260.1	Chromosome		NW_003337096.1	unplaced-scaffold	12318	chrUn_KN150260v1		NA619
GCF_000002035.6	Primary Assembly	Un			KN150263.1	Chromosome		NW_003336283.1	unplaced-scaffold	31336	chrUn_KN150263v1		NA621
GCF_000002035.6	Primary Assembly	Un			KN150264.1	Chromosome		NW_003334519.2	unplaced-scaffold	16955	chrUn_KN150264v1		NA622
GCF_000002035.6	Primary Assembly	Un			KN150265.1	Chromosome		NW_003335278.1	unplaced-scaffold	51555	chrUn_KN150265v1		NA623
GCF_000002035.6	Primary Assembly	Un			KN150267.1	Chromosome		NW_003337203.1	unplaced-scaffold	77778	chrUn_KN150267v1		NA625
GCF_000002035.6	Primary Assembly	Un			KN150268.1	Chromosome		NW_008805476.1	unplaced-scaffold	15280	chrUn_KN150268v1		NA62
GCF_000002035.6	Primary Assembly	Un			KN150269.1	Chromosome		NW_003336662.1	unplaced-scaffold	48062	chrUn_KN150269v1		NA5
GCF_000002035.6	Primary Assembly	Un			KN150270.1	Chromosome		NW_003337159.1	unplaced-scaffold	22285	chrUn_KN150270v1		NA626
GCF_000002035.6	Primary Assembly	Un			KN150271.1	Chromosome		NW_003336846.1	unplaced-scaffold	12637	chrUn_KN150271v1		NA627
GCF_000002035.6	Primary Assembly	Un			KN150272.1	Chromosome		NW_003336573.1	unplaced-scaffold	34295	chrUn_KN150272v1		NA628
GCF_000002035.6	Primary Assembly	Un			KN150274.1	Chromosome		NW_003336884.1	unplaced-scaffold	12247	chrUn_KN150274v1		NA629
GCF_000002035.6	Primary Assembly	Un			KN150275.1	Chromosome		NW_003336488.1	unplaced-scaffold	13800	chrUn_KN150275v1		NA630
GCF_000002035.6	Primary Assembly	Un			KN150276.1	Chromosome		NW_003336666.1	unplaced-scaffold	12942	chrUn_KN150276v1		NA631
GCF_000002035.6	Primary Assembly	Un			KN150278.1	Chromosome		NW_003337101.1	unplaced-scaffold	30978	chrUn_KN150278v1		NA633
GCF_000002035.6	Primary Assembly	Un			KN150279.1	Chromosome		NW_003337080.1	unplaced-scaffold	11402	chrUn_KN150279v1		NA634
GCF_000002035.6	Primary Assembly	Un			KN150280.1	Chromosome		NW_008805478.1	unplaced-scaffold	10487	chrUn_KN150280v1		NA63
GCF_000002035.6	Primary Assembly	Un			KN150282.1	Chromosome		NW_003336036.1	unplaced-scaffold	23758	chrUn_KN150282v1		NA636
GCF_000002035.6	Primary Assembly	Un			KN150283.1	Chromosome		NW_008805480.1	unplaced-scaffold	13933	chrUn_KN150283v1		NA638
GCF_000002035.6	Primary Assembly	Un			KN150284.1	Chromosome		NW_003336443.1	unplaced-scaffold	18131	chrUn_KN150284v1		NA639
GCF_000002035.6	Primary Assembly	Un			KN150285.1	Chromosome		NW_003334203.1	unplaced-scaffold	25361	chrUn_KN150285v1		NA640
GCF_000002035.6	Primary Assembly	Un			KN150286.1	Chromosome		NW_008805481.1	unplaced-scaffold	9068	chrUn_KN150286v1		NA641
GCF_000002035.6	Primary Assembly	Un			KN150287.1	Chromosome		NW_003337239.1	unplaced-scaffold	11856	chrUn_KN150287v1		NA642
GCF_000002035.6	Primary Assembly	Un			KN150289.1	Chromosome		NW_003336437.1	unplaced-scaffold	22206	chrUn_KN150289v1		NA643
GCF_000002035.6	Primary Assembly	Un			KN150290.1	Chromosome		NW_003337065.1	unplaced-scaffold	18248	chrUn_KN150290v1		NA644
GCF_000002035.6	Primary Assembly	Un			KN150291.1	Chromosome		NW_003336764.1	unplaced-scaffold	25796	chrUn_KN150291v1		NA64
GCF_000002035.6	Primary Assembly	Un			KN150292.1	Chromosome		NW_003337025.1	unplaced-scaffold	9984	chrUn_KN150292v1		NA645
GCF_000002035.6	Primary Assembly	Un			KN150293.1	Chromosome		NW_008805483.1	unplaced-scaffold	40764	chrUn_KN150293v1		NA646
GCF_000002035.6	Primary Assembly	Un			KN150296.1	Chromosome		NW_003336834.1	unplaced-scaffold	10238	chrUn_KN150296v1		NA647
GCF_000002035.6	Primary Assembly	Un			KN150297.1	Chromosome		NW_003337028.1	unplaced-scaffold	23472	chrUn_KN150297v1		NA648
GCF_000002035.6	Primary Assembly	Un			KN150299.1	Chromosome		NW_003337154.1	unplaced-scaffold	23511	chrUn_KN150299v1		NA650
GCF_000002035.6	Primary Assembly	Un			KN150300.1	Chromosome		NW_003336674.1	unplaced-scaffold	9489	chrUn_KN150300v1		NA653
GCF_000002035.6	Primary Assembly	Un			KN150301.1	Chromosome		NW_003336572.2	unplaced-scaffold	18664	chrUn_KN150301v1		NA654
GCF_000002035.6	Primary Assembly	Un			KN150302.1	Chromosome		NW_008805487.1	unplaced-scaffold	13538	chrUn_KN150302v1		NA65
GCF_000002035.6	Primary Assembly	Un			KN150303.1	Chromosome		NW_008805488.1	unplaced-scaffold	39288	chrUn_KN150303v1		NA657
GCF_000002035.6	Primary Assembly	Un			KN150306.1	Chromosome		NW_003336603.1	unplaced-scaffold	36728	chrUn_KN150306v1		NA661
GCF_000002035.6	Primary Assembly	Un			KN150307.1	Chromosome		NW_003336554.1	unplaced-scaffold	9167	chrUn_KN150307v1		NA663
GCF_000002035.6	Primary Assembly	Un			KN150308.1	Chromosome		NW_003337131.2	unplaced-scaffold	18907	chrUn_KN150308v1		NA664
GCF_000002035.6	Primary Assembly	Un			KN150309.1	Chromosome		NW_003336529.1	unplaced-scaffold	20999	chrUn_KN150309v1		NA666
GCF_000002035.6	Primary Assembly	Un			KN150310.1	Chromosome		NW_008805490.1	unplaced-scaffold	20509	chrUn_KN150310v1		NA667
GCF_000002035.6	Primary Assembly	Un			KN150311.1	Chromosome		NW_003337042.1	unplaced-scaffold	15747	chrUn_KN150311v1		NA668
GCF_000002035.6	Primary Assembly	Un			KN150312.1	Chromosome		NW_008805491.1	unplaced-scaffold	17282	chrUn_KN150312v1		NA670
GCF_000002035.6	Primary Assembly	Un			KN150313.1	Chromosome		NW_003336176.2	unplaced-scaffold	20655	chrUn_KN150313v1		NA66
GCF_000002035.6	Primary Assembly	Un			KN150314.1	Chromosome		NW_003337059.1	unplaced-scaffold	12455	chrUn_KN150314v1		NA671
GCF_000002035.6	Primary Assembly	Un			KN150315.1	Chromosome		NW_003337219.1	unplaced-scaffold	20424	chrUn_KN150315v1		NA672
GCF_000002035.6	Primary Assembly	Un			KN150317.1	Chromosome		NW_008805493.1	unplaced-scaffold	14866	chrUn_KN150317v1		NA674
GCF_000002035.6	Primary Assembly	Un			KN150318.1	Chromosome		NW_008805494.1	unplaced-scaffold	2580	chrUn_KN150318v1		NA675
GCF_000002035.6	Primary Assembly	Un			KN150319.1	Chromosome		NW_003336810.1	unplaced-scaffold	15807	chrUn_KN150319v1		NA676
GCF_000002035.6	Primary Assembly	Un			KN150320.1	Chromosome		NW_008805495.1	unplaced-scaffold	1241	chrUn_KN150320v1		NA677
GCF_000002035.6	Primary Assembly	Un			KN150322.1	Chromosome		NW_008805497.1	unplaced-scaffold	19644	chrUn_KN150322v1		NA678
GCF_000002035.6	Primary Assembly	Un			KN150323.1	Chromosome		NW_003336675.1	unplaced-scaffold	18137	chrUn_KN150323v1		NA679
GCF_000002035.6	Primary Assembly	Un			KN150324.1	Chromosome		NW_003334033.1	unplaced-scaffold	24032	chrUn_KN150324v1		NA67
GCF_000002035.6	Primary Assembly	Un			KN150325.1	Chromosome		NW_003336599.1	unplaced-scaffold	19525	chrUn_KN150325v1		NA681
GCF_000002035.6	Primary Assembly	Un			KN150326.1	Chromosome		NW_003336663.1	unplaced-scaffold	109565	chrUn_KN150326v1		NA682
GCF_000002035.6	Primary Assembly	Un			KN150327.1	Chromosome		NW_008805498.1	unplaced-scaffold	19949	chrUn_KN150327v1		NA683
GCF_000002035.6	Primary Assembly	Un			KN150328.1	Chromosome		NW_003336978.1	unplaced-scaffold	17410	chrUn_KN150328v1		NA684
GCF_000002035.6	Primary Assembly	Un			KN150329.1	Chromosome		NW_003337127.1	unplaced-scaffold	13297	chrUn_KN150329v1		NA685
GCF_000002035.6	Primary Assembly	Un			KN150330.1	Chromosome		NW_003334988.2	unplaced-scaffold	28440	chrUn_KN150330v1		NA686
GCF_000002035.6	Primary Assembly	Un			KN150331.1	Chromosome		NW_003336940.1	unplaced-scaffold	44968	chrUn_KN150331v1		NA687
GCF_000002035.6	Primary Assembly	Un			KN150332.1	Chromosome		NW_003336784.1	unplaced-scaffold	22862	chrUn_KN150332v1		NA688
GCF_000002035.6	Primary Assembly	Un			KN150333.1	Chromosome		NW_003335050.1	unplaced-scaffold	12275	chrUn_KN150333v1		NA689
GCF_000002035.6	Primary Assembly	Un			KN150334.1	Chromosome		NW_003336876.1	unplaced-scaffold	22542	chrUn_KN150334v1		NA690
GCF_000002035.6	Primary Assembly	Un			KN150335.1	Chromosome		NW_003337117.1	unplaced-scaffold	44504	chrUn_KN150335v1		NA68
GCF_000002035.6	Primary Assembly	Un			KN150336.1	Chromosome		NW_003334683.1	unplaced-scaffold	48672	chrUn_KN150336v1		NA691
GCF_000002035.6	Primary Assembly	Un			KN150337.1	Chromosome		NW_003336442.1	unplaced-scaffold	20260	chrUn_KN150337v1		NA692
GCF_000002035.6	Primary Assembly	Un			KN150338.1	Chromosome		NW_003336815.1	unplaced-scaffold	1142	chrUn_KN150338v1		NA693
GCF_000002035.6	Primary Assembly	Un			KN150340.1	Chromosome		NW_003334670.1	unplaced-scaffold	28741	chrUn_KN150340v1		NA695
GCF_000002035.6	Primary Assembly	Un			KN150341.1	Chromosome		NW_003337182.1	unplaced-scaffold	31147	chrUn_KN150341v1		NA696
GCF_000002035.6	Primary Assembly	Un			KN150342.1	Chromosome		NW_003335650.1	unplaced-scaffold	82590	chrUn_KN150342v1		NA697
GCF_000002035.6	Primary Assembly	Un			KN150343.1	Chromosome		NW_003336806.1	unplaced-scaffold	26928	chrUn_KN150343v1		NA698
GCF_000002035.6	Primary Assembly	Un			KN150344.1	Chromosome		NW_008805499.1	unplaced-scaffold	19681	chrUn_KN150344v1		NA699
GCF_000002035.6	Primary Assembly	Un			KN150345.1	Chromosome		NW_003337008.2	unplaced-scaffold	17012	chrUn_KN150345v1		NA700
GCF_000002035.6	Primary Assembly	Un			KN150347.1	Chromosome		NW_003336513.1	unplaced-scaffold	51528	chrUn_KN150347v1		NA701
GCF_000002035.6	Primary Assembly	Un			KN150349.1	Chromosome		NW_003336956.1	unplaced-scaffold	29114	chrUn_KN150349v1		NA702
GCF_000002035.6	Primary Assembly	Un			KN150350.1	Chromosome		NW_003336410.1	unplaced-scaffold	9245	chrUn_KN150350v1		NA703
GCF_000002035.6	Primary Assembly	Un			KN150351.1	Chromosome		NW_003336758.1	unplaced-scaffold	49608	chrUn_KN150351v1		NA704
GCF_000002035.6	Primary Assembly	Un			KN150352.2	Chromosome		NW_003336681.2	unplaced-scaffold	25352	chrUn_KN150352v2		NA706
GCF_000002035.6	Primary Assembly	Un			KN150353.1	Chromosome		NW_003336715.1	unplaced-scaffold	19631	chrUn_KN150353v1		NA707
GCF_000002035.6	Primary Assembly	Un			KN150354.1	Chromosome		NW_003336475.1	unplaced-scaffold	1452	chrUn_KN150354v1		NA708
GCF_000002035.6	Primary Assembly	Un			KN150355.1	Chromosome		NW_003337006.1	unplaced-scaffold	6731	chrUn_KN150355v1		NA709
GCF_000002035.6	Primary Assembly	Un			KN150357.1	Chromosome		NW_003337192.1	unplaced-scaffold	27326	chrUn_KN150357v1		NA69
GCF_000002035.6	Primary Assembly	Un			KN150358.1	Chromosome		NW_008805501.1	unplaced-scaffold	9951	chrUn_KN150358v1		NA711
